اب	أب,آب,أَب,أَبّ,إِبّ
الايغاران	NOTFOUND
الايكة	أَيْكَة
الايم	أَيِّم
الايواز	NOTFOUND
الايوان	إِيوان
الباب	لَبَب,باب,لُبّ
البابة	بابِه,لَبَب,لُبّ
الباج	NOTFOUND
البادية	بادِيَة,بادِي
الباذنجانية	NOTFOUND
البارة	بارّ
الباسرة	NOTFOUND
الباقرة	NOTFOUND
البالدية	NOTFOUND
البان	أَلْبانِيّ,لَبَن
البت	بَتّ,أَلَب,أَلَّب
البتراء	أَبْتَر,بِتْراء
البتم	أَلَب,أَلَّب
البثاء	NOTFOUND
البثر	بَثْر,بَثِر
البثراء	NOTFOUND
البثنة	NOTFOUND
البثنون	NOTFOUND
البثنية	NOTFOUND
البجادة	NOTFOUND
البجرات	NOTFOUND
البجسة	NOTFOUND
البجوم	بَجْم
البحرة	بَحْرَة
البحرين	بَحْرَيْنِ,بَحْر
البحيرة	بُحَيْرَة
البخارية	بُخارِيّ
البخراء	NOTFOUND
البدائع	بَدِيعَة
البدي	NOTFOUND
البدية	NOTFOUND
البديعة	بَدِيعَة
البذان	NOTFOUND
البذرمان	NOTFOUND
البرابي	بِرْبَة
البرادان	بَرّاد
البرامكة	NOTFOUND
البراهق	NOTFOUND
البربر	بَرْبَرِيّ
البرة	NOTFOUND
البرتان	NOTFOUND
البرج	بُرْج
البرجلانية	NOTFOUND
البردان	NOTFOUND
البرزمان	NOTFOUND
البرشلية	NOTFOUND
البرقاء	NOTFOUND
البرقانية	NOTFOUND
البرقعة	NOTFOUND
البرك	بِرْكَة
البرود	بُرُود,بَرُود
البروية	NOTFOUND
البريت	NOTFOUND
البريد	بَرِيد
البريدن	NOTFOUND
البريراء	NOTFOUND
البريص	NOTFOUND
البريقان	إِبْرِيق,بَرِيق
البريقة	NOTFOUND
البريكان	NOTFOUND
البز	بُزّ,بَزّ
البزاز	بُزّ,بَزّاز
البزواء	NOTFOUND
البسراط	NOTFOUND
البسرة	بُسْر
البسكت	NOTFOUND
البسيطة	بَسِيط,بَسِيطَة
البشر	بُشْر,بِشْر,بَشَر
البشرود	NOTFOUND
البشمور	NOTFOUND
البصر	بَصَر
البصرة	بَصْرَة
البصل	بَصَل
البصلية	بَصَلِيّ
البضيض	بَضِيض
البضيع	NOTFOUND
البطاح	أَبْطَح
البطانة	بَطانَة
البطائح	بَطِيحَة
البطحاء	أَبْطَح
البطيحة	بَطِيحَة
البعوضة	بَعُوض
البقال	بَقّال
البكرات	بَكْرَة
البكرة	بُكْرَة,بَكْرَة
البكرن	NOTFOUND
البلاثق	NOTFOUND
البلاط	بَلاط,بَلاطَة
البلقاء	أَبْلَق
البلمون	NOTFOUND
البلوط	بَلُّوط
البلياء	NOTFOUND
البليح	NOTFOUND
البليخ	NOTFOUND
البليين	NOTFOUND
البنتان	بِنْت
البندنيجين	NOTFOUND
البنية	بِنْيَة
البهنسا	NOTFOUND
البوازيج	NOTFOUND
البوباة	NOTFOUND
البويب	NOTFOUND
البويرة	بُوَيْرَة
البوين	NOTFOUND
البياض	بَياض
البياو	NOTFOUND
البيداء	بَيْداء
البير	أَلْبِير
البئر	بِئْر
البيرة	بِيرَة,بِيرا
البيضاء	أَبْيَض
البيضة	بَيْضَة,بَيْض
البيضتان	بَيْض
البين	بَيْنَ,بَيِّن
البينة	بَيِّنَة
البيوان	NOTFOUND
البييضة	بُوَيْض
التاج	تاج
التاجية	تاجِيّ
التاية	NOTFOUND
التبر	تِبْر
الترب	تُرْبَة,تِرْب,تَرِب
الترجمانية	NOTFOUND
التروية	تَرْوِيَة
الترويح	تَرْوِيح
التستريون	NOTFOUND
التسرير	NOTFOUND
التعانيق	NOTFOUND
التفرق	تَفَرُّق
التقي	ٱِلْتَقَى,تُقَى,تَقِيّ
التلاعة	NOTFOUND
التلبع	NOTFOUND
التلمص	NOTFOUND
التلي	NOTFOUND
التليان	NOTFOUND
التماني	آل,ٱِلْتَمّ
التناضب	NOTFOUND
التنانير	تَنُّور
التناهي	NOTFOUND
التنعيم	تَنْعِيم
التنن	NOTFOUND
التنور	تَنُّور
التو	تَوّ,ٱِلْتَوَى
التوائم	تَوْأَم
التويرة	NOTFOUND
التويمة	NOTFOUND
التى	آلَة,الَّذِي
التيس	تَيْس
التيمرة	NOTFOUND
التيه	تِيه,آلَة
الثاملية	NOTFOUND
الثاي	NOTFOUND
الثباج	NOTFOUND
الثبراء	NOTFOUND
الثتانة	NOTFOUND
الثدي	ثَدْي
الثرب	NOTFOUND
الثربان	NOTFOUND
الثرثار	ثَرْثار
الثرثوز	NOTFOUND
الثرماء	NOTFOUND
الثرملية	NOTFOUND
الثريا	ثُرَيّا
الثعلبية	ثَعْلَبِيّ
الثغر	ثُغْرَة,ثَغْر
الثغور	ثَغْر
الثغيد	NOTFOUND
الثقب	ثَقْب,ثُقْبَة,ثُقْب
الثلاثاء	ثُلاثاء
الثلبوت	NOTFOUND
الثلم	ثَلْم,ثُلْمَة
الثلماء	NOTFOUND
الثمامة	ثُمام
الثمد	NOTFOUND
الثمراء	NOTFOUND
الثميد	NOTFOUND
الثمينة	ثَمِين
الثني	ثَنْي,لاث,ثِنْي
الثومة	ثُوم
الثوية	NOTFOUND
